t_sec,raw,bat,pitch,roll,yaw,vgx,vgy,vgz,agx,agy,agz,baro,tof,h
8408.483047,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:91;temph:94;tof:10;h:0;bat:60;baro:15.39;time:0;agx:1.00;agy:21.00;agz:-1001.00;
OáûÌw",60,0,-1,0,0,0,0,1.00,21.00,-1001.00,15.39,10,0
8408.584528,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:91;temph:94;tof:10;h:0;bat:60;baro:15.40;time:0;agx:-3.00;agy:18.00;agz:-997.00;
OáûÌw",60,0,-1,0,0,0,0,-3.00,18.00,-997.00,15.40,10,0
8408.686494,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:91;temph:94;tof:10;h:0;bat:60;baro:15.38;time:0;agx:-1.00;agy:22.00;agz:-1002.00;
áûÌw",60,0,-1,0,0,0,0,-1.00,22.00,-1002.00,15.38,10,0
8408.788355,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:91;temph:94;tof:10;h:0;bat:60;baro:15.34;time:0;agx:1.00;agy:22.00;agz:-1000.00;

áûÌw",60,0,-1,0,0,0,0,1.00,22.00,-1000.00,15.34,10,0
8408.891388,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:91;temph:94;tof:10;h:0;bat:60;baro:15.30;time:0;agx:1.00;agy:20.00;agz:-998.00;


áûÌw",60,0,-1,0,0,0,0,1.00,20.00,-998.00,15.30,10,0
8408.993157,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:91;temph:94;tof:10;h:0;bat:60;baro:15.35;time:0;agx:1.00;agy:20.00;agz:-1003.00;

áûÌw",60,0,-1,0,0,0,0,1.00,20.00,-1003.00,15.35,10,0
8409.095336,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:91;temph:94;tof:10;h:0;bat:60;baro:15.38;time:0;agx:-1.00;agy:20.00;agz:-998.00;

áûÌw",60,0,-1,0,0,0,0,-1.00,20.00,-998.00,15.38,10,0
8409.197395,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:91;temph:94;tof:10;h:0;bat:60;baro:15.40;time:0;agx:0.00;agy:21.00;agz:-1001.00;

áûÌw",60,0,-1,0,0,0,0,0.00,21.00,-1001.00,15.40,10,0
8409.299384,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:92;temph:93;tof:10;h:0;bat:60;baro:15.36;time:0;agx:-1.00;agy:20.00;agz:-1000.00;
áûÌw",60,0,-1,0,0,0,0,-1.00,20.00,-1000.00,15.36,10,0
8409.401587,"pitch:0;roll:-1;yaw:0;vgx:0;vgy:0;vgz:0;templ:92;temph:93;tof:10;h:0;bat:60;baro:15.36;time:0;agx:1.00;agy:18.00;agz:-1001.00;

áûÌw",60,0,-1,0,0,0,0,1.00,18.00,-1001.00,15.36,10,0
