t_sec,x_m,y_m,z_m,scale
7590.646060,-0.045670,-0.979592,-0.195739,0.000000
7590.659943,-0.045670,-0.979592,-0.195739,0.000000
7590.667472,-0.045670,-0.979592,-0.195739,0.000000
7590.675975,-0.045670,-0.979592,-0.195739,0.000000
7590.684125,-0.045670,-0.979592,-0.195739,0.000000
7590.692327,-0.045670,-0.979592,-0.195739,0.000000
7590.709115,-0.045670,-0.979592,-0.195739,0.000000
7590.717599,-0.045670,-0.979592,-0.195739,0.000000
7590.724618,-0.045670,-0.979592,-0.195739,0.000000
7590.732159,-0.045670,-0.979592,-0.195739,0.000000
7590.749543,-0.045670,-0.979592,-0.195739,0.000000
7590.756967,-0.045670,-0.979592,-0.195739,0.000000
7590.766159,-0.045670,-0.979592,-0.195739,0.000000
7590.777878,-0.045670,-0.979592,-0.195739,0.000000
7590.790492,-0.045670,-0.979592,-0.195739,0.000000
7590.798093,-0.045670,-0.979592,-0.195739,0.000000
7590.812038,-0.045670,-0.979592,-0.195739,0.000000
7590.821392,-0.045670,-0.979592,-0.195739,0.000000
7590.829605,-0.045670,-0.979592,-0.195739,0.000000
7590.842305,-0.045670,-0.979592,-0.195739,0.000000
7590.854561,-0.045670,-0.979592,-0.195739,0.000000
7590.862096,-0.045670,-0.979592,-0.195739,0.000000
7590.871790,-0.045670,-0.979592,-0.195739,0.000000
7590.883469,-0.045670,-0.979592,-0.195739,0.000000
7590.890378,-0.045670,-0.979592,-0.195739,0.000000
7590.901320,-0.045670,-0.979592,-0.195739,0.000000
7590.908126,-0.045670,-0.979592,-0.195739,0.000000
7590.919861,-0.045670,-0.979592,-0.195739,0.000000
7590.927668,-0.045670,-0.979592,-0.195739,0.000000
7590.935368,-0.045670,-0.979592,-0.195739,0.000000
7590.942368,-0.045670,-0.979592,-0.195739,0.000000
7590.953889,-0.045670,-0.979592,-0.195739,0.000000
7590.960991,-0.045670,-0.979592,-0.195739,0.000000
7590.971878,-0.045670,-0.979592,-0.195739,0.000000
7590.981637,-0.045670,-0.979592,-0.195739,0.000000
7590.988894,-0.045670,-0.979592,-0.195739,0.000000
7590.998654,-0.045670,-0.979592,-0.195739,0.000000
7591.005241,-0.045670,-0.979592,-0.195739,0.000000
7591.014889,-0.045670,-0.979592,-0.195739,0.000000
7591.021703,-0.045670,-0.979592,-0.195739,0.000000
7591.028507,-0.045670,-0.979592,-0.195739,0.000000
7591.038381,-0.045670,-0.979592,-0.195739,0.000000
7591.048051,-0.045670,-0.979592,-0.195739,0.000000
7591.055056,-0.045670,-0.979592,-0.195739,0.000000
7591.068860,-0.045670,-0.979592,-0.195739,0.000000
7591.075636,-0.045670,-0.979592,-0.195739,0.000000
7591.086447,-0.045670,-0.979592,-0.195739,0.000000
7591.097759,-0.045670,-0.979592,-0.195739,0.000000
7591.104540,-0.045670,-0.979592,-0.195739,0.000000
7591.111271,-0.045670,-0.979592,-0.195739,0.000000
7591.120874,-0.045670,-0.979592,-0.195739,0.000000
7591.131456,-0.045670,-0.979592,-0.195739,0.000000
7591.138138,-0.045670,-0.979592,-0.195739,0.000000
7591.152896,-0.045670,-0.979592,-0.195739,0.000000
7591.159731,-0.045670,-0.979592,-0.195739,0.000000
7591.169709,-0.045670,-0.979592,-0.195739,0.000000
7591.177248,-0.045670,-0.979592,-0.195739,0.000000
7591.187264,-0.045670,-0.979592,-0.195739,0.000000
7591.194348,-0.045670,-0.979592,-0.195739,0.000000
7591.205366,-0.045670,-0.979592,-0.195739,0.000000
7591.215174,-0.045670,-0.979592,-0.195739,0.000000
7591.222027,-0.045670,-0.979592,-0.195739,0.000000
7591.231462,-0.045670,-0.979592,-0.195739,0.000000
